,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,26064-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Female,TVA+,1/24/2021,1/26/2021,3/10/2021,,3/18/2021,yes,head tumor,"sacked when head tumor became too large, brain looked normal, part of tumor was used for creating a cell line, and frozen, both the brain and tumor were fixed",,,3/26/2021,head tumor,"no glioma observable, tumor outside of skull looks like melanomas do according to Sheri",yes,yes,,,,,,,53,1,1,0,,,1,,,,,,,,,,,,,
,26065-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Female,TVA+,1/24/2021,1/26/2021,4/15/2021,4/26/2021,4/26/2021,yes,head tumor and spine tumor,"small bump noticed on top of head  on 4/15, showing more paralysis on 4/26/21, upon necropsy there was a top of head tumor which was small and only peeled off the skull with a piece of skull attached and fixed -T1. Tumor around the lower spinal cord was also minimal and used only to make a cell line - T2.",head tumor with piece of skull attached,,5/3/2021,no,no glioma observable,yes,yes,,,,,,,92,1,1,0,,,1,,1,,,,,,,1,,,,
,26066-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Male,TVA+,1/24/2021,1/26/2021,4/26/2021,,4/26/2021,yes,no,"bulge noticed in scrotum and mouse is more emanciated than others in cage, upon necropsy it is a hernia, no sign of tumor",,,5/3/2021,no,"Sheri noticed an area of increased cellular density in the brain H&E, Ki67+, pERK-",yes,yes,yes,positive,yes,negative,yes,0,92,1,1,1,,1,,,,,,,,1,,,,,,
,26067-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Male,TVA+,1/24/2021,1/26/2021,,5/5/2021,5/5/2021,yes,neck tumors,"mouse was bloated with lots of gas built up in digestive tract, mouse was also acting less active and hunched over, there were 4 masses around the front and sides of the neck which were harvested for histology, freezing, and cell line - possibly lymph nodes given their symetry, brain has a little nub in the front of it that looked larger than normal",,,5/12/2021,neck tumor,no glioma observable,yes,yes,,,,,,,101,1,1,0,,,,1,,,,,,1,1,,,,,
,26068-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Male,TVA+,1/24/2021,1/26/2021,,5/14/2021,5/14/2021,yes,cranial nerve tumor and spinal cord tumor,"mouse is paralyzed with a partially closed left eye, upon necropsy there is an enlarged cranial nerve on both sides, which was only used for a cell line (T1). There was also a tumor found on the spinal cord (T2) also just used for cell line.",,,5/28/2021,no,no glioma observable,yes,yes,,,,,,,110,1,1,0,1,1,,,1,,,,,,,,,,,
,26069-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Male,TVA+,1/24/2021,1/26/2021,6/9/2021,6/11/2021,6/14/2021,yes,no,"6/9/21 tumor noticed at base of spinal cord, found dead after probably having full paralysis, only fixed brain",,,7/2/2021,no,no glioma observable,yes,yes,,,,,,,141,1,1,0,,,,,1,,,,,,,,,,,1
,26137-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,1/31/2021,2/2/2021,,,4/5/2021,yes,no,"found dead, died up to 2 days ago, brain was a little mushy",,,4/8/2021,no,"small glioma on the bottom edge of the center section, there is some Ki67+, but pERK is negative, PTEN looks lower in the tumor, exclude from pERK quantification because it was found dead",yes,yes,yes,positive,yes,"negative, but mouse was FD",yes,1,64,1,1,1,,1,,,,,,,,,,,,,,1
,26138-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,1/31/2021,2/2/2021,6/1/2021,,6/4/2021,yes,head tumor?,"tumor noticed on head 6/1/21, sacked when tumor size approaced 2cm, mouse acted normal, upon necropsy skull appeared to be slightly ruptured with a very bloody and soft tumor growing from above the brain (used to make a cell line, and frozen), brain is very mishapen by the tumor, tumor was used for a cell line and frozen",,,7/2/2021,no,"high grade glioma at the top and center of all 3 sections, pallisading necrosis and vasculature, Ki67 has diverse regions of low and high, pERK was damaged in spots, PTEN looks low overall except for blood vessels and very distinct on and off areas within the tumor",yes,yes,yes,positive,yes,positive,yes,1,124,1,1,1,,1,,,,,,,,,,,,,,
,26139-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,1/31/2021,2/2/2021,,5/5/2021,5/5/2021,yes,neck tumors and cranial nerve tumor,"bloated looking due to gut full of gas, breathing heavy, enlarged masses around neck (T1) similar to 26067 (may be lymph nodes, might have missed these in previous mice) - these were fixed, frozen and used for a cell line, Also had a mushy mass under the brain (T2) which was used for a cell line",neck tumor,,5/12/2021,no,no glioma observable,yes,yes,,,,,,,94,1,1,0,1,1,,1,,,,,,,1,,,,,
,26140-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,1/31/2021,2/2/2021,,,7/1/2021,yes,cranial nerve tumor,"mouse appeared normal prior to necropsy, brain was being pushed from a large tumor underneith that was attached to the base of the cranial cavity, possibly from a cranial nerve (right side), a photo was taken. Tumor was very firm and white looking, It was split 3 ways for freezing, cell line, and fixing. I included the tumor along with the brain in the same parafin block.",,,7/2/2021,cranial nerve tumor,"intracrannial tumor doesn't look like it is infiltrating, Ki67+, a little p-ERK+",yes,yes,,positive,,positive,,2,151,1,1,0,1,1,,,,,,,,,,,,,,
,26141-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,1/31/2021,2/2/2021,5/17/2021,5/17/2021,5/17/2021,yes,cranial nerve tumor,"mouse had a domed head, was hunched over, not grooming, and breathing heavy, there was a massive tumor under the brain and attached to the base of the cranial cavity, froze portion of tumor and used for cell line.",,,5/28/2021,no,no glioma observable,yes,yes,,,,,,,106,1,1,0,1,1,,,,,,,,1,,,,,,
,26142-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,1/31/2021,2/2/2021,,4/26/2021,4/29/2021,yes,no,"starting to drag hind legs on 4/26/21, noticed left eye not fully open on 4/27/21, weeker and more emanciated than the cagemates so sacked before I find it dead, nothing abnormal noticed upon necropsy",,,5/3/2021,no,no glioma observable,yes,no,,,,,,,88,1,0,0,,,,,,,,,,1,,1,,,,
,26143-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/+,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,1/31/2021,2/2/2021,,6/23/2021,6/23/2021,yes,no,"mouse looked very puffy, wasn't moving around too much and breathing slowly, looked sick, upon necropsy, brain was abnormally white looking, sort of stuck to one side of the skull too",,,7/2/2021,no,"low grade glioma in all sections, lots of variability in Ki67 and pERK, PTEN has clear off regions",yes,yes,yes,positive,yes,positive,yes,1,143,1,1,1,,1,,,,,,,,1,1,,,,,
,26274-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,5/26/2021,,5/26/2021,yes,spine tumor,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen",spine tumor,,5/28/2021,no,no glioma observable,yes,yes,,,,,,,96,1,1,0,,,,,1,,,,,,,,,,,
,26275-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,,5/5/2021,5/5/2021,yes,no,"hunched, emanciated, partial paralysis, brain looked a little puffy",,,5/12/2021,no,no glioma observable,yes,no,,,,,,,75,1,0,0,,,,,,,,,,1,,1,,,,
,26276-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,5/10/2021,5/10/2021,5/17/2021,yes,head tumor and spine tumor,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.",spine tumor,,5/28/2021,no,no glioma observable,yes,yes,,,,,,,87,1,1,0,,,1,,1,,,,,,,1,,,,
,26277-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,,5/5/2021,5/5/2021,yes,no,"hunched back, becoming paralyzed, brain looked a little puffy with a possible whiter section on the bottom",,,5/12/2021,no,no glioma observable,yes,no,,,,,,,75,1,0,0,,,,,,,,,,,,1,,,,
,26278-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,,4/23/2021,4/23/2021,yes,no,"partially paralyzed on hind legs, so sacked before the weekend, nothing abnormal obversed upon necropsy",,,5/3/2021,no,no glioma observable,yes,no,,,,,,,63,1,0,0,,,,,,,,,,,,1,,,,
,26279-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/19/2021,2/21/2021,4/13/2021,,4/13/2021,yes,head tumor,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.",no,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,53,1,1,0,,,1,,,,,,,,,,,,,
,26280-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/19/2021,2/21/2021,,5/5/2021,5/5/2021,yes,cranial nerve,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with",,,5/12/2021,no,no glioma observable,yes,yes,,,,,,,75,1,1,0,1,1,,,,,,,,,1,,,,,
,26281-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/19/2021,2/21/2021,,5/19/2021,5/19/2021,yes,cranial nerve tumor,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy",,,5/28/2021,no,"possible tumor present on base of front section of the brain, Sheri says tumor cells on outside of brain starting to infiltrate",yes,yes,,,,,,,89,1,1,0,1,1,,,,,,,,,,1,,,,
,26282-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/19/2021,2/21/2021,,5/14/2021,5/14/2021,yes,no,"mouse was paralyzed, but nothing looked abnormal after necropsy",,,5/28/2021,no,no glioma observable,yes,no,,,,,,,84,1,0,0,,,,,,,,,,,,1,,,,
,26305-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/21/2021,2/21/2021,,5/10/2021,5/10/2021,yes,cranial nerve tumor,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",cranial nerve tumor,,5/12/2021,no,"no glioma observable, but head tumor is there, Sheri says the head tumors look similar to melanomas",yes,yes,,,,,,,78,1,1,0,1,1,,,,,,,,1,,,,,,
,26306-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,,6/9/2021,6/16/2021,yes,cranial nerve tumor,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with",brain,,7/2/2021,no,no glioma observable,yes,yes,,,,,,2,115,1,1,0,1,1,,,,,,,,,,,,,,
,26307-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,yes,head tumor,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",head tumor,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,51,1,1,0,,,1,,,,,,,,,,,,,
,26308-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,,5/19/2021,5/19/2021,yes,no,"partially paralyzed in hind legs, everything else looked normal",,,5/28/2021,no,no glioma observable,yes,no,,,,,,,87,1,0,0,,,,,,,,,,,,1,,,,
,26309-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,,4/30/2021,4/30/2021,yes,no,"loosing mobility in hind legs, could probably have survived longer, but didn't want to risk finding it dead after the weekend, everything appears normal after necropsy.",,,5/3/2021,no,no glioma observable,yes,no,,,,,,,68,1,0,0,,,,,,,,,,,,1,,,,
,26310-30,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,yes,head tumor,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,51,1,1,0,,,1,,,,,,,,,,,,,
,26311-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,yes,head tumor,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",head tumor,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,51,1,1,0,,,1,,,,,,,,,,,,,
,28200-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28201-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28202-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28203-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28204-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28205-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28206-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28207-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/12/2021,10/14/2021,11/28/2021,,,,,"small bump starting on forehead, beginning stage of a head tumor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28208-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,10/12/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28525-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28526-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28527-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28528-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28529-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28530-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28531-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28532-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,+/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,11/11/2021,11/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/1/2021,12/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/1/2021,12/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/1/2021,12/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/6/2021,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/6/2021,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/6/2021,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/6/2021,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N-TVA; H11LSL-Cas9 f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,,,12/6/2021,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
